nutrients,maxT_y,minT_y,temperature,species,species_initial,slope
0.01 g/L,-0.0433340363320799,0.0627507972753693,18-21 °C,Colpidium,C,-0.0353616112024831
0.01 g/L,0.251500953884746,0.255191633309875,18-21 °C,Dexiostoma,D,-0.00123022647504302
0.01 g/L,0.0107168265292821,0.21589405224014,18-21 °C,Loxocephalus,L,-0.0683924085702861
0.01 g/L,0.141109203039518,0.0785786250299992,18-21 °C,Paramecium,P,0.0208435260031731
0.01 g/L,-0.181569551499503,-0.0214341661845431,18-21 °C,Spirostomum,S,-0.0533784617716532
0.35 g/L,0.233350890515587,0.237344363061333,18-21 °C,Colpidium,C,-0.00133115751524895
0.35 g/L,0.538971884819274,0.569891407262374,18-21 °C,Dexiostoma,D,-0.0103065074810333
0.35 g/L,0.247474402778631,0.3857282403587,18-21 °C,Loxocephalus,L,-0.0460846125266895
0.35 g/L,0.26284298499081,0.289703495391953,18-21 °C,Paramecium,P,-0.0089535034670476
0.35 g/L,-0.0886736768730314,-0.00132893089752602,18-21 °C,Spirostomum,S,-0.0291149153251684
0.75 g/L,0.479347455816655,0.427552393882875,18-21 °C,Colpidium,C,0.0172650206445933
0.75 g/L,0.661309578592765,0.734477298384101,18-21 °C,Dexiostoma,D,-0.0243892399304452
0.75 g/L,0.507574602805178,0.545536110826169,18-21 °C,Loxocephalus,L,-0.0126538360069969
0.75 g/L,0.416628880348833,0.474757923074412,18-21 °C,Paramecium,P,-0.0193763475751932
0.75 g/L,0.00980211637820114,0.0225992992506482,18-21 °C,Spirostomum,S,-0.00426572762414902
0.01 g/L,-1.19728940246467,-0.217158024513021,22-25 °C,Colpidium,C,-0.326710459317215
0.01 g/L,0.16333731684808,0.235246951666573,22-25 °C,Dexiostoma,D,-0.0239698782728309
0.01 g/L,-0.0960263753312376,-0.0716194856496757,22-25 °C,Loxocephalus,L,-0.00813562989385395
0.01 g/L,0.0813579577244411,0.133027060698809,22-25 °C,Paramecium,P,-0.0172230343247893
0.01 g/L,-0.241020368887402,-0.189417511250537,22-25 °C,Spirostomum,S,-0.0172009525456216
0.35 g/L,-0.24041908632334,0.211551399832502,22-25 °C,Colpidium,C,-0.150656828718614
0.35 g/L,0.484975804728929,0.527015925111011,22-25 °C,Dexiostoma,D,-0.0140133734606941
0.35 g/L,0.284798567607973,0.167069359281471,22-25 °C,Loxocephalus,L,0.0392430694421673
0.35 g/L,0.222018753388596,0.253542199629017,22-25 °C,Paramecium,P,-0.0105078154134736
0.35 g/L,-0.161777959493338,-0.0924629517593982,22-25 °C,Spirostomum,S,-0.0231050025779798
0.75 g/L,0.472436126315788,0.556495449487071,22-25 °C,Colpidium,C,-0.0280197743904278
0.75 g/L,0.617893365727907,0.652264512662277,22-25 °C,Dexiostoma,D,-0.0114570489781234
0.75 g/L,0.557334303062731,0.460944269799305,22-25 °C,Loxocephalus,L,0.0321300110878085
0.75 g/L,0.386392446908762,0.408639019986172,22-25 °C,Paramecium,P,-0.00741552435913662
0.75 g/L,-0.0727945386794509,0.00947348509562008,22-25 °C,Spirostomum,S,-0.0274226745916903
0.01 g/L,-0.350884169612541,-1.19728940246467,25-28 °C,Colpidium,C,0.282135077617375
0.01 g/L,0.0653985697256571,0.16333731684808,25-28 °C,Dexiostoma,D,-0.0326462490408077
0.01 g/L,0.694526468435751,-0.0960263753312376,25-28 °C,Loxocephalus,L,0.263517614588996
0.01 g/L,-0.0528600649305907,0.0813579577244411,25-28 °C,Paramecium,P,-0.0447393408850106
0.01 g/L,-0.445224319075146,-0.241020368887402,25-28 °C,Spirostomum,S,-0.0680679833959148
0.35 g/L,-3.21064148983917,-0.24041908632334,25-28 °C,Colpidium,C,-0.990074134505276
0.35 g/L,0.356501339662987,0.484975804728929,25-28 °C,Dexiostoma,D,-0.0428248216886473
0.35 g/L,2.04758889920853,0.284798567607973,25-28 °C,Loxocephalus,L,0.587596777200184
0.35 g/L,0.106542628247284,0.222018753388596,25-28 °C,Paramecium,P,-0.0384920417137708
0.35 g/L,-0.403744100126632,-0.161777959493338,25-28 °C,Spirostomum,S,-0.080655380211098
0.75 g/L,-4.27630653601469,0.472436126315788,25-28 °C,Colpidium,C,-1.58291422077683
0.75 g/L,0.485968003482824,0.617893365727907,25-28 °C,Dexiostoma,D,-0.0439751207483612
0.75 g/L,1.8703542690202,0.557334303062731,25-28 °C,Loxocephalus,L,0.437673321985822
0.75 g/L,0.301464042179054,0.386392446908762,25-28 °C,Paramecium,P,-0.028309468243236
0.75 g/L,-0.343854982326614,-0.0727945386794509,25-28 °C,Spirostomum,S,-0.0903534812157209
